Missä yhtyeessä Beyoncé vaikutti ennen soolouraansa?,Destiny's Childissa
Millä elokuvalla on eniten voitettuja oscar-palkintoja? (yhtenä vuonna),"Ben-Hur, Titanic ja LOTR: Kuninkaan paluu (11 kpl)"
"Vuonna 1946 julkistettiin vaateasu, jota dubattiin ""muodin atomipommiksi"". Millä nimellä tämä vaateasu tunnetaan paremmin?",Bikini
Millä eläimellä on tihein turkki? (karvoja per neliöcm),merisaukolla
"Moderneja olympialaisia on järjestetty jo vuodesta 1896 lähtien, jonka aikana on mm. sodittu molemmat maailmansodat. Kuinka monet olympialaiset peruttiin näiden sotien takia?",5
Kuningatar Elisabet II on pisimpään hallinnut nykyinen hallitsija. Kuinka monta vuotta hän on hallinnut Isoa Britanniaa ja Kansanyhteisöä? a) 55 b) 66 c) 47 d) 51 vuotta,
Milloin voit nähdä taivaalla koronan?,Auringonpimennyksen aikana
Mitä valmistetaan perkolaattorilla?,Kahvia
Kuinka monta voimalapatoa on Tammerkoskessa?,Kolme
Mikä on youtuben tilatuin kanava?,PewDiePie
"Mistä näytelmästä on kuuluisa lausahdus: ""Ollakko vai eikö olla.""",Hamlet
Mikä on Kiinan aikavyöhyke?,UTC+8
"Kimble on klassinen lautapeli, jonka moni saattaa muistaa lapsuudestaan. Minkä väriset ovat kimblen pelaajien värivaihtoehdot?","Sininen, Vihreä, Keltainen, Punainen"
Lehmä käyttää märehtimiseen kaikkia neljää vatsaansa. Mitkä ovat näiden vatsojen nimet?,"Pötsi, Verkkomaha, Satakerta, Juoksutusmaha"
"Kuka Rooman keisari soitti legendan mukaan viulua, kun Rooma paloi?",Nero
Minkä elokuvan teossa hyödynnettiin Bruce-nimistä animatronista eläintä?,Tappajahaissa
Kuka kirjailija kirjoitti Narnia-kirjasarjan?,C.S. Lewis
"Kuinka monta vuotta aviopari on ollut naimisissa, kun vietetään timanttihäitä?",60 vuotta
Kenen faaraon hauta sijaitsee Gizan suurimmassa pyramidissa?,Kheops (Khufu)
Millä valtiolla on eniten rantaviivaa kilometreissä mitattuna CIA:n World Factbookin mukaan?,"Kanadalla (202,080 km)"
"Missä kaupungissa sijaitsi Viisauden talo, joka oli pimeän keskiajan aikaan maailman suurin kirjasto?",Bagdadissa
Missä kaupungissa sijaitsee Meripihkahuone?,Pietarissa
Minkä niminen oli Beatlesin viimeisenä äänitetty studioalbumi?,Abbey Road
Mikä yhtiö toi markkinoille ensimmäisen kannettavan musiikkisoittimen?,Sony
"Maailmassa on kaksi sisämaata, joiden naapurimaat ovat kaikki myös sisämaita. Mitkä kaksi valtiota nämä ovat? // What are the two countries in the world that are landlocked and have only other landlocked countries as neighbors?",Liechtenstein ja Uzbekistan
"Millä nimellä alle 2,11 % hiiltä sisältäviä rautaseoksia kutsutaan?",Teräs
Mikä on keskilämmöltään aurinkokunnan kumin planeetta?,Venus (keskilämötila n. 460 C)
Mikä on toiseksi kevein alkuaine? // What is the second lightest element?,Helium
Mikä on pohjoisen pallonpuoliskon suurin jyrsijä?,Majava
Mikä on rubriikki?,Otsikko
Mistä maasta islanninponi on alunperin kotoisin?,Norjasta
Missä maassa kompassi keksittiin?,Kiinassa
Mikä on maailman suurin lintu?,Strutsi
Mitä metallia löytyy hemoglobiinista?,Rautaa
Mikä on keltavahveron toinen nimi? // What is a another name for girolle?,Kantarelli // (Golden) cantharelle
"Minkä niminen on Charles Darwinin kirjoittama kirja, jossa hän loi perustan evoluutioteorialle? // What is the name of the book written by Charles Darwin that laid the foundation for the theory of evolution?",Lajien synty (Origin of Species)
Kuka ratsasti Marengo-nimisellä hevosella Waterloon taistelussa? // Who rode the horse named Marengo in the Battle of Waterloo?,Napoleon
Mikä Yhdysvaltain vanhin ja arvovaltaisin yliopisto?,Harvard
Minkä planeetan kuu Phobos on?,Mars
Minkä maan alueita on Sisä-Mongolia?,Kiinan
Mikä on Gaussin käyrän toinen nimitys?,"Kellokäyrä, normaalijakauma"
Mistä metallista rubiini pääosin koostuu?,Alumiinista
Miksi kutsuttiin Espanjan pitkään voittamatonta sotalaivastoa 1500-luvulta?,Armada
Minkä vitamiinin puutostila johtaa keripukkiin?,C-vitamiinin
Mistä elokuvasta laulu Somewhere Over the Rainbow on alunperin tuttu?,Ihmemaa Oz (Wizard of Oz)
Mikä yritys on kehittänyt ohjelmointikieli Go:n? // Which company has developed the programming language Go?,Google
Mistä maasta Gouda on peräisin? // What country does Gouda originate from?,Alankomaat/hollanti
Kuinka monta sydäntä on mustekalalla? // How many hearts does an octopus have?,3
Mihin peliin liittyy termi kuningatargamibiitti? // To which game term Queen's gambit is related to?,Shakki
"Suositussa Craps-noppapelissä lyödään vetoa nopanheittäjän puolesta tai häntä vastaan. Pelaaja häviää, mikäli hän heittää ensimmäisellä vuorolla tuloksen nimeltä Craps. Mitä tarkoittaa tulos Craps? // In the popular game of Craps, bets are placed for or against the dice roller. The player loses if they roll a result called Craps on their first turn. What does the result Craps mean?","Summa 2,3 tai 11."
Hindulaisessa jumaluuden kolmiopissa Vishnu on rakkautta ja elämää ylläpitävä jumala. Kuka on hänen puolisonsa?,Lakshmi
Mitkä kaksi opintosuunta aloitti opinnot Hervannassa tänä syksynä?,Robotiikka ja Energiamurros
Missä sijaitsee Suomen pohjoisin Alko? // Where is the northernmost Alko store in Finland located?,Utsjoki (Nuorgam)
"Viskisota, tai Liköörisota, oli Tanskan ja Kanadan välinen rajakiista Hansisaaresta, jossa kiistan molemmat osapuolet pystyttivät vuorotellen kyseiselle saarelle oman lippunsa jättäen samalla lahjaksi vastustajilleen alkoholipullon. Vastaavat tapahtumat toistuivat vuosikymmenien ajan useaan kertaan. Minä vuonna tämä konflikti loppui? a) 1982 b) 2002 c) 2022.",2022
Kuinka monta vuotta digitaalinen videopelien latauspalvelu Steam täyttää tänä vuonna? // How many years did the digital video game download service Steam turn this year?,20
Minkä tunnetun pöytäroolipelin maailmaan sijoittuu tänä vuonna julkaistu “Baldur’s Gate 3” videopeli?,Dungeons and Dragons
Missä maassa pelataan League of Legends pelin Worlds-turnausta tällä hetkellä? // In which country is the League of Legends Worlds tournament currently being played?,Etelä-Korea // South Korea
Missä urheilussa pelaaja voi tehdä albatrossin?,Golffissa
Mikä on kansainvälinen radioselvennys G-kirjaimelle?,Golf
Mille valtiolle kuuluu Intian valtameressä sijaitseva Joulusaari?,Australialle
"Mitä tarkoittaa suomeksi ""Veni, vidi, vici""?","Tulin, näin, voitin"
Kuinka paljon on tiu?,20
Mistä tietokonepelistä Gordon Freeman on tuttu?,Half-Life
"Kuka on ainoa yhdysvaltojen presidentti, joka on hallinnut yli kaksi kautta?",Franklin D. Roosevelt
Montako eri kirjainta on Venäjällä käytetyissä kyrillisissä aakkosissa?,33
"Kultalevykysymys, ei jostain syystä copypasteta suoraan XD LSD",10 000
Marsalkka Mannerheim äänestettiin vuonna 2004 kaikkien aikojen suurimmaksi suomalaiseksi. Mikä on Suomen kansan rakastaman marsalkan koko nimi?,Carl Gustaf Emil Mannerheim
"Tampere oli ensimmäinen Suomen kaupunki, joka sai pysyvät katuvalot ja kunnallisen sähkölaitoksen. Minä vuonna tämä tapahtui?",1888
Nokia on osittain jätevesistään tunnettu pirkanmaalainen kaupunki. Mikä eläin esiintyy Nokian vaakunassa?,(Musta) näätä
Mikä oli Suomen valtion tilaama ja Turussa 13. lokakuuta 1931 valmistunut Iku-Turso? ,Sukellusvene
"Cities: Skylines on kaupunkisimulaatiopeli, joka mm. oli julkaisuviikollaan Steamin myydyin peli. Minkä niminen on pelin kehittänyt pelitalo?",Colossal Order
Useimmista muovisista virvoitusjuomapulloista voit löytää merkinnän PET. Mitä kyseinen merkintä tarkoittaa?,Pullo on valmistettu polyeteenitereftalaatista (myös polyetyleenitereftalaatti)
Mount Everest on maailman korkein vuori. Sen korkeus on noin 8 848 metriä. Kuinka monta Celsius-astetta on veden kiehumispiste Mount Everestin huipulla asteen tarkkuudella?,71 C
Urho Kaleva Kekkonen oli Suomen kahdeksas presidentti. Kuinka monta vuotta hän toimi presidenttinä?,25
"Kulta on alkuaine, jota on käytetty tuhansien vuosien ajan valuuttana. Mikä on kullan kemiallinen merkki?",Au
"Messinki on metalliseos, josta tehdään paljon käyttöesineitä. Mitkä kaksi metallia ovat messingin pääraaka-aineet? ",Kupari ja sinkki
Tampere3:n ensimmäinen ehdotettu tiedekuntajako julkaistiin kommentoitavaksi viime viikolla. Kuinka monta tiedekuntaa uudessa yliopistossa ehdotuksen mukaan olisi?,7
"Olkiluoto-3:n rakentaminen aloitettiin 12. Elokuuta 2005. Jos se joskus valmistuisi, monesko toimiva ydinvoimalaitosyksikkö Suomessa se olisi?",5.
Mikä Suomenkin luonnosta tuttu syömäkelpoinen kasvi on latinankieliseltä nimeltään Fragaria vesca?,Aho- tai metsämansikka
Kuinka moneen äänestysalueeseen Hervanta jakautui vuoden 2018 presidentinvaaleissa?,seitsemään
Luettele sinkkuelämää sarjan neljän päähenkilön etunimet.,"Carrie, Samantha, Miranda, Charlotte"
"Maailman suurin kissa, nimeltään Stewie, on 123 cm pitkä ja painaa 16 kg. Mikä on Stewien rotu?",Maine Coon
Mikä oli väkiluvultaan maailman suurin kaupunki vuonna 1 jaa.,"Rooma (lähde: Ian Morris, Social development, 2010"
Bremenin soittoniekat on yksi monista Grimmin veljesten saduista. Ketkä 4 jäsentä kuului Bremenin soittoniekkoihin?,"Aasi, koira, kissa ja kukko."
"Suomi täytti juuri 100 vuotta, ja on lähes itsenäistymisestään asti ollut tasavalta. Mikä maa on maailman vanhin tasavalta?",San Marino
Sauli Niinistö valittiin juuri toiselle kaudelle suomen presidentiksi. Presidentin kausihan suomessa on 6 vuotta. Ketkä suomen 12:sta presidentistä ovat olleet presidenttinä alle yhden kauden verran eli alle 6 vuotta?,"Kyösti Kallio, Risto Ryti, Carl Gustaf Emil Mannerheim"
Mitä mielenkiintoista on Ernest Vincent Wrightin kirjassa Gadsby?,Siinä ei ole yhtään e-kirjainta.
"Mitä muista yhdysvaltojen presidenteistä poikkeavaa oli James Buchananissa, kun hänestä tuli yhdysvaltojen presidentti?",Hän ei ollut naimisissa
Suomen ensimmäinen ydinvoimala otettiin käyttöön 1977. Missä?,Loviisan Hevossaaressa
Kerttu ja Sylvian joululaulu liittyvät toisiinsa. Miten?,Sylvia on kerttu-lintujen tieteellinen nimi
Frisbeegolf on suomessakin alati kasvava laji. Kuka on lajin tämän hetken maailman mestari? A) Ken Climo B) Ricky Wysocki C) Simon Lizotte D) Paul McBeth,B)
Phantom of the opera on broadwayn esitetyin musikaali. Mikä on seuraavaksi esitetyin musikaali broadwayllä?,Cats
Kuka oli miss Piggyn suuri rakkaus?,Kermit
Millä roomalaisella jumalalla oli kahdet kasvot?,Januksella
Ketkä olivat Kainin ja Aabelin vanhemmat?,Aatami ja Eeva
Mikä on korkeaäänisin puupuhallin?,Pikkolo
Miten Aleksanteri Suuri avasi legendan mukaan avaamattomana pidetyn Gordionin solmun?,Hän leikkasi sen miekalla
Pyhä Valentinus eli kolmannella vuosisadalla ja hänen kunniakseen vietetään ystävänpäivää 14.2. Milloin vietettiin ystävänpäivää ensimmäistä kertaa?,
"Tänään on ystävänpäivä, mutta kenen nimipäivä tänään on?",
10 000 metrin juoksua on juostu olympialaisissa jo vuodesta 1912. Millä maalla on eniten mitaleja kyseiseltä matkalta?,Suomi
"Jo esihistoriallisella ajalla hiihdettiin, jolloin käytettii kahta eripitkää suksea. Mitkä olivat näiden eripitkien suksien nimet? (molemmilla suksilla oma nimi)",Kalhu ja Lyly
"Vanhan kansanperinteen mukaan karkauspäivänä nainen saa kosia miestä. Jos mies kieltäytyy kosinnasta, tulee hänen perinteen mukaan ostaa naiselle mitä?",hamekangas
minkä kasvin latinan kielinen nimi on linnea borealis?,vanamo
minkä eläimen latinankielinen nimi on bufo bufo?,rupikonna
Minä vuonna ensimmäinen Playstation-konsoli tuli markkinoille?,1994
Kuinka monta näppäintä oli ensimmäisessä tietokoneen hiiressä?,yksi
Luciferia pidetään kristinuskossa helvetin hallitsija ja yksi neljästä arkkienkelistä. Mitä hänen nimensä tarkoittaa kirjaimellisesti suomennettuna?,Valonkantajaa
"Kristoffer Kolumbus ""löysi"" Amerikan mantereen vuonna 1492. Mihin hänen oli alun perin tarkoitus päätyä tuolla matkalla?",Intiaan
Mandariinikiina on maailman puhutuin virallinen kieli. Mikä on toiseksi puhutuin?,espanja
Tarinan mukaan mistä Väinämöisen kannel oli tehty?,"Hauen leuasta/ leuka luusta, (pelkkä hauki ei riitä)"
"Eräässä Grimmin veljesten sadussa tyttö lukitaan torniin, jossa hänen on määrä kehrätä oljista kultaa kuninkaalle. Tähän hänen ollessa kykenemätön kääpiö auttaa häntä, jos saa lopulta palkkioksi tytön esikoisen. Esikoisen synnyttyä tyttö ei halunnut luopua lapsestaan ja kääpiö totesi, jos tyttö arvaa hänen nimensä niin kääpiö ei vie esikoistaan. Mikä oli tämän sadun kääpiön nimi?","Tittelintuure, Rompanruoja, Hopskukkeli"
"Antti Tuisku on menestyvä suomalainen artisti, joka nousi kuuluisuuteen 2003 idols-nimisestä ohjelmasta. Monenneksiko Antti Tuisku sijoittui kyseisessä kilpailussa?",3.
Minä vuonna legendaarisen uutisankkuri Arvi Lindin viimeinen uutislähetys lähetettiin?,2003
Millä ehkä tunnetummalla nimella matemaatikko Leonardo Pisano tunnetaan?,Fibonacci
Mikä on pokedexissä pokemon numerolla 1?,Bulbasaur
James Naismith oli kanadalainen opettaja. Minkä suuren urheilulajin kehittäjänä häntä pidetään?,Koripallo
Mikä on etelä-korean kansallis(urheilu)laji?,taekwondoo
"Lorem ipsum on latin kielinen pätkä tekstiä, jota käytetään kirjainten tai tekstien ulkoasun ja asettelun suunnitteluun. Kenen ""proosan mestarinakin"" tunnetun henkilön tekstistä lorem ipsumiin on otettu viitteitä?",Cicero
Missä kaupungissa prinsessa Diana kuoli auto-onnettomuudessa?,Pariisissa
Mihin kaupunkiin Pillipiipari kutsuttiin ratkaisemaan vallitsevaa hiiriepidemiaa?,Hameliniin
Mikä valtio lahjoiiti Vapaudenpatsaan Yhdysvalloille?,Ranska
"Mitä kirjaa Orson Welles luki radiossa 1938, jonka tapahtumia ihmiset luulivat uutislähetykseksi aiheuttaen laajaa paniikkia?",Maailmojen sota (War of the worlds)
"Kevin Systrom tunnetaan Instagramin kehittäneenä henkilönä ja vuonna 2010 hän itse postasi sovelluksen ensimmäisen kuvan, mitä kuvassa oli? a)Kevin Systrom B) koira c) kulhollinen nuudeleita c)auringonlasku",b)
Kuka tunnettu artisti tunnettiin nimellä satchmo?,Louis Armstrong
Mikä oli kreikkalaisen mytologian pääjumalan Zeuksen vaimon nimi?,Hera
Kuinka montanykyistä valtiota kuului entiseen Jugoslaviaan ennen kylmän sodan loppua?,7
Mitä sukua Terästyttö on Teräsmiehelle sarjakuvissa?,Serkku
Minä vuonna Barbie-nukke lanseerattiin markkinoille? a) 1949 b) 1959 c) 1969 d) 1979,b) 1959
Millä nimellä kutsutaan luoteisella Tyynellämerellä syntyviä trooppisia sykloneja?,Taifuuni
"Simpsonien perheeseen kuuluvat Homer, Marge, Bart, Lisa ja Maggie. Mikä on Homerin isän nimi?",Abraham
"Yhdysvalloissa on paikka nimeltä four corners, missä 4 osavaltiota kohtaa. Mitkä ovat nämä osavaltiot?","Colorado, New Mexico, Arizona, Utah"
"Miksi kutsutaan lausetta, jossa on käytetty aakkosten kaikkia kirlaimia vähintään kerran?",pangrammi
Mikä nykyinen suurkaupunki oli alkuperäiseltä nimeltään Lutetia?,Pariisi
Kuka kirjoitti kirjan Ajan Lyhyt Historia?,Stephen Hawking
Mikä on JVG-yhtyeestä tutun VilleGallen sukunimi?,Galle
Luettele kaikki neljä maailmanlopun ratsumiestä?,"Sota, nälkä, rutto, kuolema (englanniksi war, famine, pestilence, death)"
"Finias ja Ferb on Disneyn tuottama animaatiosarja, jonka pääosassa ovat velipuolet Finias ja Ferb. Mikä eläin on heidän perheensä lemmikki Perry?",Vesinokkaeläin
Millä artistinimellä Paul Hewson tunnetaan paremmin?,Bono
"Nimeä kaikki valtiot, jotka alkavat kirjaimella O",Oman
Minkä niminen oli antiikin eri mesopotamialaisten kansojen käyttämä kirjoitusjärjestelmä?,"Kuneiformi, nuolenpääkirjoitus"
Mikä on Aurinkokunnan pienin planeetta?,Merkurius
"Kuka aikoinaan sanoi kuuluisat sanat: ""The only thing to fear is fear itself""?",Franklin D. Roosevelt
Kuka sarjakuvahahmo tunnetaan Italiassa nimellä Paperino?,Aku Ankka
"Kuka sävelsi musiikkiteoksen ""Neljä vuodenaikaa""",Antonio Vivaldi
Mikä on maapallon kuoren yleisin alkuaine?,Happi (n. 46%)
Mikä on kiwano?,Hedelmä
Kuka on Iron Maidenin solisti?,Bruce Dickinson
Mitä sana Buddha tarkoittaa?,Valaistua
Mistä maasta tango on kotoisin?,Argentiinasta
Kuka on kreikkalaisessa mytologiassa Herculeen (Herculeksen?) isä? // Who is the father of Hercules in greek mythology?,Zeus
Valtatie 4 tunnetaan Suomen pisimpänä tienä. Mistä kaupungista tie alkaa ja mihin se loppuu?,"Helsinki, Utsjoki"
Mikä on kiinalaisen horoskoopin ainoa fiktiivinen eläin?,Lohikäärme
Mikä on maailman valtioiden lippujen yleisin väri?,Punainen
"Kuinka monta ihmistä täytyy virallisesti mahtua (mukavasti) onkaloon, jotta se voidaan Suomessa laskea luolaksi?",2-3
Mikä on maailman yleisin veriryhmä?,O+
"Minä vuonna Kirka esitti Euroviisuissa kappaleen ""Hengaillaan""?",1984
"Kuka maalasi maalauksen ""Pyhä Ehtoollinen""?",Leonardo da Vinci
Mistä maanosasta peruna on kotoisin? // From which continent is potato from?,Etelä-Amerikasta
Mikä sarjakuvasankari tunnetaan Italiassa nimellä Topolino?,Mikki Hiiri
Mikä on Suomen vanhin sisämaakaupunki?,Hämeenlinna
Mitkä eläimet jaetaan pysty- ja sivutaivuttajiin? (englanniksi hidden-necked ja side-necked),Kilpikonnat
Mihin elimeen hepatiitti vaikuttaa?,Maksaan
Mikä yhtiö toi ensimmäisenä tietokoneen hiiren markkinoille?,Apple
"Mihin saariryhmään kuuluu mm. Oahu, Kauai ja Maui -saaret?",Havaiji
Mitkä eläimet ovat kuvattuna Finlandia-vodkan etiketissä?,Porot
Mikä on Suomen suurin hyönteissyöjä?,Siili
Minä päivänä ensimmäinen Alko avasi ovensa Suomessa? (Kellonajasta ei tule bonusta),Alko avasi ensimmäisen myymälänsä tiistaina 5. huhtikuuta 1932 klo 10. Päivämäärän muistamista auttaa Suomen historian tunnetuimpiin kuuluva lukusarja 543210
Mikä on Japanin suurin saari? // What is the largest island of Japan?,Honshu
Minkä hedelmän hillo on olennainen osa Sacher-kakkua?,Aprikoosi
"Moni saattaakin jo tietää, että Suomi voitti olympiakultaa miesten jääkiekossa 2022. Kuka oli kyseisen joukkueen kapteeni? // You might know that Finland won gold in the winter olympics in 2022 in ice hockey. Who was the captain of Finland’s hockey team?",Valtteri Filppula
Millä pohjoismaista on eniten maapinta-alaa? /,Tanska
Minä vuonna Ruotsissa siirryttiin oikeanpuoleiseen liikenteeseen?,1967
"Mainitse kaksi kasvia, jota perinteisesti käytetään absintissa? //  Name two plants, which are commonly used in absinthe?","Koiruoho, anis, fenkoli // Anise, grand wormwood (artemisia absinthium), (sweet) fennel"
Mikä liputuspäivä on tänään? (10.10.),Aleksis Kiven päivä
Minkä tunnetun videopelin nimi oli tekovaiheessa “Sonic’s Ass Game”?,Crash Bandicoot
"Kuinka monta kertaa matkustaessasi Tampereen Ratikalla Hervantajärven pysäkiltä Pyynikintorille ja takasin, kuulet kuulutuksen “Ovet aukeavat kulkusuuntaan nähden vasemmalta” // In Tampere Tram you can hear the phrase “Ovet aukeavat kulkusuuntaan nähden vasemmalta” which means that the doors open on left side of the Tram. How many times can you hear this phrase when you travel from Hervantajärvi to Pyynikintori and back?",5
"Mikä valtio on ollut viimeiset kolme vuotta putkeen maailman turvallisin maa Maailmanlaajuisen rauhan indeksin perusteella? // What country has, for the last three years in a row, been the safest country in the world according to the Global Peace Index?",Islanti // Iceland
Missä kahdessa kaupungissa järjestetään vuoden 2023 jääkiekon MM-kilpailut? In which two cities the world championships of ice hockey 2023 will be held?,Tampere ja Riika
Skandinaavisessa mytologiassa Ratatoskr jouksee maailmanpuu Yggdrasilia pitkin välittäen samalla viestejä latvan kotkien ja juurten Nidhöggr-käärmeen välillä. Mikä eläin Ratatoskr on?,Orava
Mistä rikoksesta pahamaineinen gangsteri Al Capone lopulta tuomittiin vankilaan vuonna 1931.,Veronkierto
Mitä ainesosia ei vaadita kakun tekemiseen videopelissä Minecraft? a) Maitoa b) Jauhoja c) Kananmunia,b) Jauhoja
Minkä maan keisarisuvun sanotaan periytyvän Amaterasu-jumalattaresta?,Japanin
Mikä on sitar?,Näppäilysoitin
"Miksi kutsutaan paperiarkkia, jonka mitat ovat 297 kertaa 420 millimetriä?",A3
Mikä eläin on kuttu?,Vuohi
Missä kaupungissa Sakari Topelius syntyi?,Uudessakaarlepyyssä
"Minkä helsinkiläisen talon seinässä sanotaan latinaksi: ""Isänmaa antoi toivoilleen""",Vanhan ylioppilastalon
Mikä on Taiwanin virallinen kieli?,Kiina
Miltä Ranskan paikkakunnalta tunnettu kivennäisvesi on saanut nimensä?,Vichy
Mikä on YLE:n toiseksi käytetyin tekstitv sivu avausnäkymän jälkeen?,235 (NHL-tulossivu)
Montako kierrosta ilmassa tekee taitoluistelija hypetessään kaksoisaxelin?,"2,5"
Mikä liikkuva rakennustyyppi tuli Eurooppaan joskus 1100-luvulla?,Tuulimylly
Minkä niminen amerikkalainen kehitti gallup -tutkimukset?,George Gallup
Minkä nimisen saaren Haiti ja Dominikaaninen tasavalta jakavat?,Hispaniola
Mikä on Pirkanmaan suurin kaupunki?,Tampere
Mitä Espanja on espanjaksi?,España
"Mitä kahta likööriä sekoitetaan yhteen, kun valmistetaan Grasshopper -drinkkiä",Minttu- ja kaakaolikööriä
"Mitä viittä eri alkoholia sekoitetaan yhteen, kun valmistetaan Long Island Iced tea?","Vodka, rommi, tequila, gin ja triplesec"
Missä Suomen kaupungeissa on tai on ollut raitiotie?,"Helsinki, Turku ja (Viipuri)"
Millä tsaari Nikolai II uhkasi ympäröidä koko Venäjän?,Sähköaidalla
Kuka ohjaa/ohjasi uusimman Star Wars -elokuvan The Last Jedi?,Rian Johnson
Kumpi on leveämpi jalkapallossa - rima vai maalilinja?,Yhtä leveitä
Mikä oli Marxin veljesten oikea sukunimi?,Marx
Missä kaupungissa jääkiekkoliiga NHL:n uusin joukkue Golden Knights pelaa kotiottelunsa?,Las Vegasissa
Laske roomalaisittain: paljonko on D jaettuna X:llä,L
"Montako potkuria oli lentokoneessa, joka vei Wrightin veljekset ilmailuhistoriaan?",2
Millä energian mittayksiköllä korvattiin kalorit?,Joule
"Simson on tunnettu vanhasta testamentista. Hän oli tunnettu suurista voimistaa,",
hän muunmuassa paini leijonan kanssa paljain käsin. Missä piili Simsonin voima?,Tukassa
Kuinka monta litraa on yksi (brittiläinen) pint mittayksikkö?,"0,568L"
Merellisen ilmaston vuoksi Norjassa sataa jopa 3 kertaa enemmän kuin Suomessa.,
Mikä on Norjan sateisin kaupunki?,Bergen
Monesko USA:n presidentti Donald Trump on?,45.
Marjapussi on yksi eniten pelatuista korttipeleistä Suomessa. Montako pistettä Marjapussissa saa valtista?,2
Kuka oli Caligulan seuraaja Rooman keisarina?,Claudius
"Mistä näytelmästä on lause: ""Ken tästä käy saa kaiken toivon heittää""?",Jumalaisesta näytelmästä
Missä Pariisin rakennuksessa on 8 museota?,Louvre
Mikä on teini-ikäisten mutanttininjakilpikonnien eli Turtlesien mestarin nimi?,Tikku (Splinter eng.)
Kuinka moneen maahan Iso-Britannia ei ole historiansa aikana julistanut sotaa kertaakaan?,22
Missä kaupungissa on Suomen suurimmat urut?,Lapua
Kuka näyttelee paavia Sharknado 5 -elokuvassa?,Fabio
Mikä on rumeliini?,sitrushedelmä
